YearMonth,Receita Total,Pedidos Totais,Ticket Médio Produto
,"$0,0",,"$0,00"
2016-09,"$135,0",4,"$134,97"
2016-10,"$40325,1",324,"$152,17"
2016-11,"$0,0",,"$0,00"
2016-12,"$10,9",1,"$10,90"
2017-01,"$111798,4",800,"$149,06"
2017-02,"$234223,4",1780,"$141,70"
2017-03,"$359198,9",2682,"$141,08"
2017-04,"$340669,7",2404,"$147,92"
2017-05,"$489338,3",3700,"$138,00"
2017-06,"$421923,4",3245,"$134,58"
2017-07,"$481604,5",4026,"$124,38"
2017-08,"$554699,7",4331,"$132,29"
2017-09,"$607399,7",4285,"$146,36"
2017-10,"$648247,7",4631,"$144,76"
2017-11,"$987765,4",7544,"$135,51"
2017-12,"$726033,2",5673,"$131,69"
2018-01,"$924645,0",7269,"$130,80"
2018-02,"$826437,1",6728,"$126,08"
2018-03,"$953356,3",7211,"$136,14"
2018-04,"$973534,1",6939,"$143,21"
2018-05,"$977544,7",6873,"$144,84"
2018-06,"$856077,9",6167,"$140,36"
2018-07,"$867953,5",6292,"$140,92"
2018-08,"$838576,6",6512,"$132,04"
2018-09,"$0,0",16,"$0,00"
2018-10,"$0,0",4,"$0,00"
