UF,Receita Total,Pedidos Totais,Ticket Médio Produto,Prazo Médio Entrega Seleção,% Entregas Atrasadas Seleção
,"$42527,1",318,"$140,35",16.062706270627064,"9,24%"
AC,"$15931,0",81,"$199,14",21,"3,75%"
AL,"$78725,7",412,"$198,80",24.525252525252526,"21,46%"
AM,"$22155,8",148,"$152,80",26.358620689655172,"2,76%"
AP,"$13374,8",68,"$199,62",27.17910447761194,"2,99%"
BA,"$489899,2",3361,"$151,30",19.23100679431748,"12,11%"
CE,"$218794,7",1332,"$171,60",21.221176470588237,"13,80%"
DF,"$270997,8",1951,"$142,63",12.873684210526315,"5,74%"
ES,"$268103,4",2026,"$134,86",15.682595573440643,"10,61%"
GO,"$282026,0",2009,"$144,93",15.544193216855087,"6,58%"
MA,"$116181,6",743,"$162,72",21.436974789915965,"17,23%"
MG,"$1551665,4",11623,"$136,78",11.93511988716502,"4,56%"
MS,"$115430,0",715,"$164,66",15.544935805991441,"9,70%"
MT,"$152012,8",905,"$171,96",17.990950226244344,"6,00%"
PA,"$174050,7",971,"$184,57",23.746553552492045,"11,24%"
PB,"$111267,8",534,"$216,05",20.380582524271844,"10,49%"
PE,"$251576,2",1648,"$158,32",18.385777218376337,"9,57%"
PI,"$84168,1",492,"$177,95",19.3953488372093,"13,95%"
PR,"$664535,2",5032,"$135,34",11.914663951120163,"4,01%"
RJ,"$1757905,0",12838,"$142,50",15.232895590142672,"12,11%"
RN,"$81881,8",483,"$173,48",19.194915254237287,"9,11%"
RO,"$45493,0",251,"$188,77",19.278008298755186,"2,90%"
RR,"$7057,5",46,"$172,13",29.341463414634145,"12,20%"
RS,"$728648,9",5462,"$136,43",15.24681647940075,"6,07%"
SC,"$507012,1",3637,"$142,98",14.902989283699943,"8,21%"
SE,"$56484,3",349,"$169,11",21.45508982035928,"15,27%"
SP,"$5065369,5",41727,"$125,12",8.699352702836249,"4,49%"
TO,"$48222,5",279,"$176,64",17.622710622710624,"9,89%"
