product_category_name_english,Receita Total,Pedidos Totais,Ticket Médio Produto,Nota Média Review Seleção
,"$175967,2",99441,"$124,62",4.08642062404257
AGRO_INDUSTRY_AND_COMMERCE,"$70566,1",99441,"$398,68",4.08642062404257
AIR_CONDITIONING,"$53323,6",99441,"$216,76",4.08642062404257
ART,"$23657,3",99441,"$121,32",4.08642062404257
ARTS_AND_CRAFTMANSHIP,"$1814,0",99441,"$78,87",4.08642062404257
AUDIO,"$50570,6",99441,"$145,32",4.08642062404257
AUTO,"$578966,7",99441,"$151,96",4.08642062404257
BABY,"$400421,8",99441,"$142,55",4.08642062404257
BED_BATH_TABLE,"$1023434,8",99441,"$110,38",4.08642062404257
BOOKS_GENERAL_INTEREST,"$45302,2",99441,"$91,33",4.08642062404257
BOOKS_IMPORTED,"$4418,9",99441,"$88,38",4.08642062404257
BOOKS_TECHNICAL,"$18702,2",99441,"$73,06",4.08642062404257
CDS_DVDS_MUSICALS,"$730,0",99441,"$60,83",4.08642062404257
CHRISTMAS_SUPPLIES,"$8737,8",99441,"$69,90",4.08642062404257
CINE_PHOTO,"$6674,5",99441,"$105,94",4.08642062404257
COMPUTERS,"$218684,1",99441,"$1235,50",4.08642062404257
COMPUTERS_ACCESSORIES,"$888724,6",99441,"$136,10",4.08642062404257
CONSOLES_GAMES,"$148003,4",99441,"$145,39",4.08642062404257
CONSTRUCTION_TOOLS_CONSTRUCTION,"$142108,5",99441,"$193,08",4.08642062404257
CONSTRUCTION_TOOLS_LIGHTS,"$39957,0",99441,"$165,11",4.08642062404257
CONSTRUCTION_TOOLS_SAFETY,"$38773,2",99441,"$243,86",4.08642062404257
COOL_STUFF,"$610204,1",99441,"$171,45",4.08642062404257
COSTRUCTION_TOOLS_GARDEN,"$25096,3",99441,"$132,09",4.08642062404257
COSTRUCTION_TOOLS_TOOLS,"$15903,9",99441,"$163,96",4.08642062404257
DIAPERS_AND_HYGIENE,"$1500,8",99441,"$60,03",4.08642062404257
DRINKS,"$21529,8",99441,"$75,02",4.08642062404257
DVDS_BLU_RAY,"$4542,6",99441,"$81,12",4.08642062404257
ELECTRONICS,"$155043,9",99441,"$61,60",4.08642062404257
FASHIO_FEMALE_CLOTHING,"$2634,9",99441,"$73,19",4.08642062404257
FASHION_BAGS_ACCESSORIES,"$149329,4",99441,"$82,05",4.08642062404257
FASHION_CHILDRENS_CLOTHES,"$520,0",99441,"$74,28",4.08642062404257
FASHION_MALE_CLOTHING,"$10452,3",99441,"$98,61",4.08642062404257
FASHION_SHOES,"$23001,5",99441,"$97,88",4.08642062404257
FASHION_SPORT,"$2094,5",99441,"$80,56",4.08642062404257
FASHION_UNDERWEAR_BEACH,"$9305,9",99441,"$79,54",4.08642062404257
FIXED_TELEPHONY,"$55315,2",99441,"$260,92",4.08642062404257
FLOWERS,"$1110,0",99441,"$38,28",4.08642062404257
FOOD,"$28731,2",99441,"$65,15",4.08642062404257
FOOD_DRINK,"$14942,9",99441,"$67,61",4.08642062404257
FURNITURE_BEDROOM,"$19051,8",99441,"$211,69",4.08642062404257
FURNITURE_DECOR,"$711927,7",99441,"$112,88",4.08642062404257
FURNITURE_LIVING_ROOM,"$67350,7",99441,"$162,68",4.08642062404257
FURNITURE_MATTRESS_AND_UPHOLSTERY,"$4323,4",99441,"$116,85",4.08642062404257
GARDEN_TOOLS,"$470495,3",99441,"$136,45",4.08642062404257
HEALTH_BEAUTY,"$1233131,7",99441,"$142,61",4.08642062404257
HOME_APPLIANCES,"$78832,5",99441,"$105,53",4.08642062404257
HOME_APPLIANCES_2,"$107954,0",99441,"$475,57",4.08642062404257
HOME_COMFORT_2,"$760,3",99441,"$31,68",4.08642062404257
HOME_CONFORT,"$58008,5",99441,"$147,98",4.08642062404257
HOME_CONSTRUCTION,"$81407,6",99441,"$168,55",4.08642062404257
HOUSEWARES,"$615628,7",99441,"$107,20",4.08642062404257
INDUSTRY_COMMERCE_AND_BUSINESS,"$38498,8",99441,"$165,94",4.08642062404257
KITCHEN_DINING_LAUNDRY_GARDEN_FURNITURE,"$45532,0",99441,"$188,93",4.08642062404257
LA_CUISINE,"$2055,0",99441,"$158,08",4.08642062404257
LUGGAGE_ACCESSORIES,"$138701,6",99441,"$136,12",4.08642062404257
MARKET_PLACE,"$27795,8",99441,"$101,44",4.08642062404257
MUSIC,"$6034,4",99441,"$158,80",4.08642062404257
MUSICAL_INSTRUMENTS,"$184315,7",99441,"$301,66",4.08642062404257
OFFICE_FURNITURE,"$268154,3",99441,"$213,84",4.08642062404257
PARTY_SUPPLIES,"$4465,2",99441,"$117,50",4.08642062404257
PERFUMERY,"$390144,7",99441,"$126,42",4.08642062404257
PET_SHOP,"$211695,6",99441,"$125,41",4.08642062404257
SECURITY_AND_SERVICES,"$283,3",99441,"$141,65",4.08642062404257
SIGNALING_AND_SECURITY,"$21315,1",99441,"$154,46",4.08642062404257
SMALL_APPLIANCES,"$182754,1",99441,"$300,09",4.08642062404257
SMALL_APPLIANCES_HOME_OVEN_AND_COFFEE,"$46589,6",99441,"$647,08",4.08642062404257
SPORTS_LEISURE,"$954852,6",99441,"$126,81",4.08642062404257
STATIONERY,"$223788,7",99441,"$98,85",4.08642062404257
TABLETS_PRINTING_IMAGE,"$7528,4",99441,"$95,30",4.08642062404257
TELEPHONY,"$309860,2",99441,"$75,70",4.08642062404257
TOYS,"$471286,5",99441,"$123,89",4.08642062404257
WATCHES_GIFTS,"$1166177,0",99441,"$212,23",4.08642062404257
